mentor_domain_id,mentor_id,reg_date_mentor,region_id_mentor,mentee_id,region_id_mentee,session_id,session_date_time,session_status
10,26132,2024-04-20 19:43:32,2,27949,9,5547,2020-08-03 08:21:33,canceled
8,17733,2024-04-05 18:12:47,9,26903,3,3998,2020-04-09 05:23:29,canceled
4,7241,2024-10-23 13:49:26,3,2013,0,6601,2021-06-09 17:40:00,canceled
4,28865,2024-04-29 06:14:22,5,23010,10,2877,2024-04-10 14:21:15,finished
6,6410,2024-04-07 05:13:44,10,6388,9,9724,2024-07-24 22:55:27,canceled
9,11737,2024-02-01 12:02:21,10,12410,3,6801,2023-04-18 05:00:54,finished
6,29405,2024-09-25 10:02:42,3,12673,0,5246,2022-09-29 05:00:04,canceled
9,17836,2024-10-15 22:36:41,10,10323,7,1134,2023-07-18 10:52:31,finished
9,19644,2024-10-20 23:45:02,6,1639,2,4610,2023-01-09 09:01:57,finished
6,16820,2024-09-18 14:13:24,7,22387,7,7232,2023-12-06 20:59:22,finished
7,7783,2024-10-14 03:44:14,4,14687,9,9569,2024-10-25 10:06:24,finished
8,1051,2024-11-06 17:24:54,9,9706,4,5560,2024-05-02 19:24:12,canceled
9,23968,2024-02-06 18:59:05,10,28464,5,2086,2022-12-17 01:11:06,canceled
1,22649,2024-08-17 06:30:38,6,6711,1,7995,2021-01-04 15:16:36,canceled
4,7213,2024-09-09 21:36:59,9,13995,10,1641,2020-10-18 05:20:24,canceled
8,3196,2024-04-16 02:47:29,10,29635,1,2991,2020-11-24 02:34:21,canceled
7,6350,2024-02-26 06:08:43,8,19441,3,2486,2020-05-01 17:38:37,canceled
10,21459,2024-05-14 16:58:27,9,22958,6,9675,2023-01-18 22:31:21,finished
7,20734,2024-10-02 01:16:20,3,21164,3,5103,2020-04-19 13:54:16,finished
7,18466,2024-05-04 01:49:54,2,17561,3,4865,2021-02-18 21:38:56,finished
5,6861,2024-10-04 11:13:00,7,12569,7,4881,2021-08-27 04:01:54,canceled
9,5386,2024-05-23 14:42:00,7,26084,5,5857,2024-05-06 00:53:05,finished
10,1075,2024-03-14 16:51:28,9,3140,3,9751,2022-12-16 01:16:30,canceled
7,17276,2024-11-05 22:00:23,1,24958,1,2059,2023-02-27 19:21:59,finished
8,20267,2024-08-25 14:29:15,10,16126,0,6836,2023-06-18 14:29:27,canceled
7,8360,2024-01-27 07:53:29,1,16995,5,4313,2023-12-09 00:22:04,canceled
8,29245,2024-08-23 17:03:19,10,23954,9,2670,2024-10-19 23:08:57,canceled
2,9732,2024-01-03 00:47:07,5,10403,7,9116,2020-12-14 08:11:44,canceled
6,16185,2024-05-06 08:46:05,1,2718,4,2919,2024-01-11 09:25:46,canceled
4,8790,2024-09-05 16:54:30,6,8341,1,2675,2022-01-13 06:36:28,finished
9,1463,2024-09-18 15:14:48,4,13093,0,4666,2024-01-01 22:23:09,finished
2,1766,2024-03-15 18:49:47,1,13907,5,8056,2023-01-02 01:34:06,canceled
7,5996,2024-09-06 12:16:19,5,28890,9,1235,2022-10-26 21:58:46,finished
8,21713,2024-02-18 18:05:18,9,17699,9,6822,2023-06-03 12:27:12,canceled
9,22149,2024-06-06 22:54:43,2,17187,5,9981,2020-12-16 16:44:47,canceled
7,15637,2024-08-06 14:13:54,5,22609,2,1565,2020-11-28 15:53:20,canceled
5,2624,2024-08-31 09:03:10,2,14912,6,4274,2021-12-18 22:07:04,finished
10,18984,2024-08-12 20:05:04,5,13788,4,3406,2022-08-08 08:46:42,canceled
1,26063,2024-02-14 04:18:31,7,13435,7,8135,2024-08-19 10:25:24,finished
8,11844,2024-05-06 08:44:21,8,12971,8,2605,2024-03-25 20:46:27,canceled
6,27714,2024-05-05 01:46:49,3,26904,0,5965,2020-01-29 10:04:23,finished
6,151,2024-08-29 05:52:38,10,22380,5,4376,2023-02-01 10:19:50,finished
3,21256,2024-01-11 19:43:33,8,5472,9,6087,2023-07-02 20:51:20,finished
1,23315,2024-08-13 19:43:10,9,4921,10,3873,2024-06-17 21:06:57,canceled
5,18877,2024-10-05 16:30:41,4,23704,1,4374,2021-09-22 02:05:16,canceled
10,11263,2024-08-08 08:14:44,2,20432,0,3864,2022-03-09 07:08:58,canceled
9,25240,2024-01-13 04:59:19,9,1852,0,7089,2023-01-18 08:42:58,canceled
8,14954,2024-08-15 09:42:27,1,16287,9,6637,2021-12-09 23:16:55,canceled
1,16561,2024-10-05 06:02:02,4,28446,6,1410,2020-05-28 08:03:52,finished
7,29223,2024-08-06 13:59:17,10,12769,3,1441,2023-07-24 15:38:41,finished
7,28913,2024-01-02 21:40:53,2,3094,1,8889,2021-05-31 14:16:36,canceled
5,21562,2024-07-02 22:31:35,10,3475,0,9169,2022-04-06 14:49:03,canceled
5,10157,2024-07-08 21:01:48,5,18660,9,8218,2024-05-10 05:52:55,canceled
8,3711,2024-11-02 13:44:39,7,1149,1,3622,2024-08-20 14:10:27,canceled
1,26289,2024-03-28 22:49:31,5,1919,4,6478,2021-01-10 14:56:36,finished
3,17858,2024-04-03 00:38:31,1,24303,1,9088,2022-04-24 19:35:49,canceled
1,26089,2024-05-26 17:53:33,4,3512,1,7289,2020-03-15 06:55:41,finished
7,5618,2024-02-26 20:24:26,3,18992,1,2315,2023-09-12 11:13:23,canceled
2,18917,2024-02-01 13:52:02,4,23575,6,9248,2020-05-18 15:39:52,canceled
2,12189,2024-10-03 07:18:29,1,25252,7,5449,2023-10-14 10:41:50,canceled
3,562,2024-06-20 12:09:52,4,6809,1,2557,2022-04-15 06:22:45,finished
6,7959,2024-02-13 20:09:03,5,18406,1,4751,2023-05-04 09:14:36,finished
4,10402,2024-06-18 13:13:17,9,24154,2,2803,2022-08-07 08:44:01,canceled
1,17896,2024-09-25 22:12:37,1,8825,4,1573,2021-10-13 03:04:40,canceled
4,6708,2024-02-19 03:25:52,6,11813,5,3276,2022-09-02 06:00:51,canceled
4,8771,2024-04-08 04:26:32,5,2891,1,1030,2020-01-13 18:31:24,finished
1,29127,2024-05-10 04:49:53,8,29754,0,2689,2022-11-04 02:37:33,finished
4,4754,2024-02-11 23:33:28,10,12312,0,8889,2022-04-11 12:09:18,canceled
2,23332,2024-10-09 22:50:42,9,2818,7,3352,2021-02-21 10:11:58,canceled
4,17089,2024-03-04 03:27:52,10,14928,9,4222,2020-10-23 02:00:53,finished
7,8670,2024-03-11 06:41:52,4,19000,1,5798,2022-05-30 03:30:52,finished
6,22492,2024-10-19 10:37:36,1,9987,7,3997,2023-03-24 11:27:52,finished
5,10765,2024-03-23 07:51:05,6,11847,4,9236,2024-10-08 22:07:54,finished
3,12734,2024-08-15 08:30:48,10,9098,2,4910,2024-06-30 05:20:39,finished
7,19222,2024-06-21 08:35:12,2,3806,5,3174,2022-04-13 08:48:09,canceled
2,4820,2024-08-20 11:58:45,5,18803,10,7978,2023-12-20 20:52:29,finished
6,14743,2024-07-06 21:44:41,3,19548,2,5111,2022-06-02 09:22:15,finished
9,6262,2024-06-11 08:47:05,6,18341,7,4177,2023-04-01 10:33:17,canceled
1,9608,2024-08-14 22:02:00,6,27362,8,8878,2022-06-13 14:06:34,finished
9,29842,2024-10-25 16:15:13,6,8570,6,8053,2023-03-26 05:11:01,canceled
2,14487,2024-01-29 23:21:21,9,369,6,4353,2023-09-11 02:23:55,finished
10,5306,2024-09-25 11:51:59,1,17460,6,6072,2024-05-25 23:04:03,finished
5,7551,2024-09-08 23:03:31,7,8837,5,1300,2021-07-11 18:48:47,canceled
3,23403,2024-05-18 23:41:05,7,22275,9,3139,2023-05-24 11:03:50,canceled
7,22825,2024-01-19 22:03:39,1,2713,1,1421,2023-08-10 08:05:43,finished
1,8432,2024-06-21 00:22:36,9,22090,9,2574,2021-02-18 08:55:15,finished
3,20398,2024-02-29 20:39:47,7,18287,3,7323,2021-03-10 17:36:25,finished
5,20173,2024-04-03 17:04:23,8,28879,9,5733,2024-09-03 10:28:22,finished
7,3135,2024-09-20 06:58:49,6,2122,8,4865,2020-04-17 16:01:57,finished
4,25144,2024-06-27 03:16:29,7,17285,10,9370,2022-11-12 20:32:12,finished
9,7414,2024-05-07 04:10:13,2,19062,2,7566,2024-04-06 23:10:18,canceled
1,19527,2024-01-15 11:40:12,4,12674,8,4311,2021-10-27 08:33:20,finished
9,5924,2024-10-01 06:36:53,9,15886,10,6158,2021-11-23 17:07:01,canceled
8,29146,2024-09-19 05:20:20,3,4856,5,4592,2024-08-20 13:12:47,finished
3,27389,2024-08-14 06:03:04,4,6960,4,1497,2021-01-10 09:54:28,canceled
8,10090,2024-01-13 00:46:02,1,11577,7,2226,2021-08-16 11:15:18,finished
9,25783,2024-04-08 10:14:41,1,7623,7,6696,2022-09-14 22:59:29,finished
7,27330,2024-02-11 06:14:12,4,28402,9,4042,2020-10-01 22:29:24,finished
3,7732,2024-08-25 04:52:37,3,12139,10,1664,2022-05-20 10:54:25,finished
5,5816,2024-07-16 12:03:20,4,16645,10,1946,2024-10-27 08:03:46,finished
2,21580,2024-03-15 09:07:29,10,9709,8,6404,2024-08-16 03:18:00,canceled
1,7131,2024-10-03 00:02:01,2,10023,3,1419,2023-03-12 00:39:31,canceled
5,3142,2024-07-15 01:41:10,5,5792,4,1633,2024-02-08 10:15:08,canceled
6,26253,2024-10-24 18:48:37,5,27204,8,4542,2024-06-13 14:49:14,canceled
1,20940,2024-11-08 10:13:45,1,14993,5,4583,2022-01-12 05:17:35,canceled
10,29146,2024-01-06 14:38:03,7,26825,4,6065,2020-06-07 07:42:42,finished
1,17409,2024-06-18 04:33:48,2,9325,4,3260,2022-12-22 15:45:47,canceled
1,17602,2024-04-16 22:15:56,10,22310,6,1321,2023-11-20 04:45:09,finished
5,18116,2024-08-17 01:10:12,8,14589,10,2684,2024-04-14 09:30:40,canceled
2,6225,2024-05-12 15:12:58,6,14616,2,3553,2024-05-04 21:38:36,finished
7,3551,2024-02-22 03:43:36,3,15101,1,4199,2024-06-22 13:29:36,finished
10,16914,2024-07-12 22:30:14,1,12959,9,4138,2020-03-31 12:22:57,canceled
7,10620,2024-10-14 16:44:45,4,14652,4,4017,2022-04-28 04:24:40,finished
10,9235,2024-02-22 18:49:13,4,22323,6,6100,2022-03-23 18:39:12,canceled
6,19566,2024-08-04 00:36:53,9,20257,9,7950,2021-02-28 02:56:35,canceled
1,8736,2024-04-22 14:06:46,4,17443,2,8973,2022-06-24 07:08:31,canceled
